CustodyID,ParticipantID,GunID,GeographyID,DateID,CrimeGravity
10,1,1,83129,0,2
336,1,1,48822,20,2
1194,1,1,93147,70,2
1244,1,1,79009,73,2
1605,1,1,21297,86,2
1650,1,1,19871,86,2
2963,1,1,29861,91,2
3159,1,1,25946,92,2
379245,1,1,51536,1483,2
3895,1,1,79350,95,2
4406,1,1,10889,97,2
5204,2,1,12010,99,3
7804,1,1,62142,108,2
8583,1,1,1214,111,2
8867,1,1,54681,112,2
9400,1,1,68968,115,2
66161,1,1,3329,322,2
10863,1,1,1584,120,2
11450,3,1,20942,123,2
13372,1,1,1290,132,2
13375,3,1,1290,132,2
254479,4,1,15538,1042,1
14088,1,1,56095,136,2
15190,1,1,32573,141,2
15572,1,1,74978,143,2
220198,1,1,86814,920,2
282723,1,1,86814,1141,2
310051,1,1,86814,1237,2
357326,1,1,86814,1401,2
17374,1,1,55243,153,2
18452,1,1,36632,158,2
18473,1,1,67846,158,2
18507,1,1,52060,158,2
20271,1,1,36840,165,2
20705,1,1,58395,167,2
22316,5,1,77095,173,6
22981,1,1,3256,176,2
24145,1,1,52421,180,2
156551,1,1,58683,673,2
27691,1,1,75538,195,2
404197,1,1,87430,1580,2
276702,3,1,87430,1119,2
29776,1,1,79786,204,2
101560,3,1,79786,452,2
407796,1,1,22622,1595,2
29958,1,1,95475,205,2
30016,1,1,83405,205,2
30017,1,1,83405,205,2
30459,1,1,50143,207,2
30759,1,1,64863,208,2
31323,1,1,56957,210,2
31843,1,1,12526,213,2
195920,1,1,85514,825,2
373546,1,1,85514,1462,2
373548,3,1,85514,1462,2
184875,1,1,70991,781,2
302607,1,1,70991,1209,2
35433,1,1,79464,226,2
115953,1,1,92612,522,2
35873,1,1,17273,228,2
35882,1,1,11204,228,2
37165,1,1,16841,232,2
161822,1,1,2487,692,2
37226,1,1,10155,232,2
301732,1,1,12260,1206,2
233527,1,1,83363,969,2
37556,3,1,83363,233,2
354641,1,1,9970,1392,2
39266,1,1,78515,239,2
290223,6,1,78749,1167,1
50089,4,1,3715,275,1
45295,1,1,19837,260,2
57681,1,1,65075,297,2
48010,1,1,43114,269,2
50183,1,1,53504,276,2
51938,1,1,74966,281,2
52575,1,1,83221,283,2
53003,1,1,88125,284,2
54038,1,1,17611,287,2
56178,5,1,66175,293,6
56191,3,1,80369,293,2
57928,1,1,90576,298,2
404711,1,1,13535,1582,2
58441,1,1,11031,299,2
59338,1,1,84758,302,2
59851,1,1,28172,303,2
60356,1,1,39090,305,2
60852,1,1,87989,307,2
62450,1,1,51777,311,2
65148,1,1,4308,319,2
67235,1,1,64211,325,2
344498,1,1,74799,1358,2
325565,1,1,66319,1293,2
403120,1,1,40926,1575,2
69180,1,1,31399,332,2
69750,1,1,49086,333,2
227124,7,1,69612,945,4
257073,1,1,34200,1051,2
112366,1,1,22921,506,2
75399,1,1,76839,350,2
187077,1,1,76839,790,2
282577,1,1,42321,1140,2
79340,1,1,85697,362,2
80986,5,1,75692,368,6
301469,1,1,85627,1205,2
85305,1,1,17843,381,2
304115,1,1,34322,1215,2
86255,4,1,62952,384,1
253050,1,1,68811,1038,2
285304,1,1,68811,1149,2
340232,1,1,68811,1343,2
89463,1,1,36992,397,2
90281,1,1,83640,399,2
90395,1,1,87932,400,2
90428,1,1,82558,400,2
310045,1,1,38560,1237,2
284821,5,1,38560,1148,6
92123,5,1,60989,407,6
404338,1,1,31002,1580,2
93234,1,1,34931,412,2
93967,1,1,20138,416,2
94359,1,1,26475,418,2
94380,1,1,30498,418,2
375293,1,1,22444,1469,2
94410,1,1,6731,418,2
94408,5,1,6731,418,6
94696,1,1,71626,419,2
416634,4,1,11732,1631,1
95172,1,1,92259,422,2
95226,1,1,18580,422,2
95667,1,1,94353,425,2
95680,1,1,70041,425,2
95705,1,1,56078,425,2
148680,1,1,52963,646,2
120170,4,1,52963,539,1
296433,3,1,52963,1188,2
129714,3,1,31179,576,2
96007,1,1,11874,426,2
96307,3,1,67908,428,2
131827,1,1,46618,584,2
256384,5,1,46618,1049,6
242427,3,1,46618,1001,2
96546,1,1,65432,429,2
96548,1,1,56912,429,2
96633,1,1,23640,430,2
96720,1,1,67257,430,2
96899,1,1,77684,431,2
96902,1,1,77684,431,2
96926,1,1,48116,431,2
96940,1,1,25012,431,2
96995,1,1,25546,431,2
159065,1,1,3062,682,2
228392,1,1,1321,950,2
111645,1,1,90693,502,2
253155,1,1,90693,1038,2
97856,1,1,65619,435,2
97906,1,1,67568,435,2
122866,1,1,49199,549,2
98319,1,1,78120,437,2
98360,1,1,26840,437,2
98568,3,1,19381,438,2
98816,1,1,72586,440,2
98819,1,1,84027,440,2
98888,1,1,43237,440,2
100505,1,1,64315,447,2
152013,1,1,64315,657,2
100589,1,1,55165,447,2
100859,1,1,82074,449,2
100923,4,1,56172,449,1
337977,1,1,60469,1335,2
101412,1,1,64110,451,2
101417,1,1,9618,451,2
101420,1,1,9618,451,2
101421,3,1,11866,451,2
302668,1,1,24770,1209,2
101680,1,1,38709,452,2
101795,1,1,37618,453,2
101891,1,1,66010,453,2
196080,1,1,56255,825,2
266922,2,1,56255,1086,3
102073,1,1,88882,454,2
102141,1,1,52352,454,2
102245,1,1,52232,455,2
102330,1,1,86724,455,2
102521,1,1,59661,456,2
102822,1,1,65279,458,2
102867,3,1,73832,458,2
102868,1,1,32482,458,2
102947,1,1,78020,458,2
103024,1,1,33236,459,2
103041,1,1,55127,459,2
103243,1,1,65554,460,2
103295,1,1,82371,460,2
103303,4,1,47365,460,1
103450,1,1,26625,461,2
103456,1,1,15429,461,2
203344,1,1,33039,854,2
235201,1,1,33039,975,2
235217,1,1,33039,975,2
235233,1,1,33039,975,2
235235,1,1,33039,975,2
235194,3,1,33039,975,2
116429,1,1,1498,524,2
308755,1,1,1498,1232,2
104129,3,1,28443,464,2
104148,1,1,93032,464,2
104317,3,1,78252,465,2
104478,1,1,91771,466,2
104730,1,1,87348,467,2
104731,1,1,87348,467,2
104879,1,1,65979,467,2
372270,1,1,83413,1457,2
282012,1,1,81592,1138,2
306850,1,1,88137,1225,2
127392,4,1,22255,567,1
105527,1,1,24536,470,2
106271,1,1,14979,474,2
106452,1,1,45752,475,2
106492,1,1,16775,475,2
106553,1,1,68329,475,2
106593,1,1,57158,475,2
106672,1,1,50893,476,2
225242,4,1,43475,938,1
106906,1,1,91507,477,2
355174,1,1,45088,1394,2
264158,1,1,40682,1075,2
107349,1,1,72222,479,2
303079,4,1,57293,1211,1
107528,1,1,11654,480,2
107560,1,1,4378,480,2
107600,1,1,55772,480,2
107631,1,1,23395,480,2
107671,4,1,58267,480,1
398424,1,1,49671,1558,2
108476,1,1,94808,485,2
108633,3,1,53538,486,2
108900,3,1,9089,487,2
109048,1,1,53398,488,2
109081,1,1,19213,488,2
265659,1,1,19213,1081,2
283438,1,1,39474,1144,2
109288,5,1,65407,489,6
109434,1,1,33558,489,2
109687,1,1,92860,491,2
305276,1,1,55080,1219,2
109897,1,1,31095,492,2
109950,1,1,62110,492,2
109982,1,1,87712,492,2
109994,1,1,76344,492,2
110125,1,1,56420,493,2
110243,1,1,93255,494,2
110265,1,1,83759,494,2
110366,1,1,12890,494,2
110497,1,1,12077,495,2
110741,1,1,39125,496,2
110762,1,1,2926,497,2
111053,1,1,9910,498,2
316302,4,1,9910,1262,1
310195,1,1,15022,1237,2
111410,1,1,36445,500,2
111641,1,1,81574,502,2
111672,1,1,42600,502,2
111738,3,1,29691,502,2
111967,1,1,59011,503,2
112464,1,1,69019,506,2
112705,1,1,45467,507,2
112768,1,1,75107,508,2
112808,1,1,47760,508,2
112880,1,1,69928,508,2
113018,1,1,67051,509,2
113114,1,1,23916,509,2
113140,1,1,61169,510,2
113190,1,1,80413,510,2
195981,1,1,18370,825,2
113620,1,1,7781,512,2
113621,1,1,7781,512,2
113729,4,1,9008,512,1
113875,1,1,68812,513,2
114031,5,1,85297,514,6
114108,1,1,17335,514,2
114175,1,1,48686,515,2
114192,1,1,70668,515,2
114354,1,1,54273,516,2
114362,1,1,77380,516,2
114458,1,1,17931,516,2
114624,1,1,5270,517,2
114903,1,1,68761,518,2
115033,1,1,71854,518,2
115311,3,1,26208,520,2
115490,1,1,95630,520,2
115581,1,1,67699,521,2
115682,1,1,57116,521,2
115796,1,1,21492,522,2
115915,1,1,2172,522,2
185628,1,1,39468,785,2
116298,3,1,29839,524,2
116342,1,1,26246,524,2
116409,1,1,88377,524,2
116438,1,1,87281,524,2
116554,1,1,41709,524,2
116610,1,1,15589,525,2
116674,1,1,50587,525,2
312028,1,1,53537,1245,2
205502,4,1,53537,864,1
117060,1,1,49928,527,2
117321,1,1,1464,528,2
117430,1,1,23961,528,2
117446,1,1,36625,528,2
117470,1,1,35168,528,2
117516,1,1,42400,528,2
117524,1,1,55620,528,2
117526,1,1,55620,528,2
350545,1,1,48112,1378,2
351154,1,1,48112,1380,2
353182,1,1,48112,1387,2
355354,1,1,48112,1394,2
356300,1,1,48112,1397,2
169217,1,1,56453,719,2
386274,1,1,56453,1509,2
351597,4,1,56453,1381,1
117878,1,1,84702,530,2
141077,5,1,9977,617,6
118190,1,1,58773,531,2
118254,1,1,65825,531,2
118340,1,1,92776,532,2
118383,1,1,7592,532,2
118395,3,1,45738,532,2
118509,1,1,1578,533,2
118616,1,1,73877,533,2
118671,1,1,94944,533,2
221967,1,1,54053,926,2
118724,1,1,38720,533,2
118922,1,1,85915,534,2
119190,1,1,30587,535,2
119226,4,1,5241,535,1
259610,1,1,18572,1059,2
119541,1,1,56439,537,2
330081,1,1,92355,1309,2
171328,4,1,92355,728,1
182129,4,1,92355,770,1
155019,6,1,92355,667,1
120473,4,1,5755,540,1
120527,1,1,22517,540,2
