DateID,Date,Day,Month,Year,Quarter,DayOfWeek
0,2013-01-01 00:00:00,1,1,2013,1,1
20,2013-04-22 00:00:00,22,4,2013,2,0
70,2013-09-27 00:00:00,27,9,2013,3,4
73,2013-10-12 00:00:00,12,10,2013,4,5
86,2014-01-01 00:00:00,1,1,2014,1,2
91,2014-01-06 00:00:00,6,1,2014,1,0
92,2014-01-07 00:00:00,7,1,2014,1,1
1483,2017-11-01 00:00:00,1,11,2017,4,2
95,2014-01-10 00:00:00,10,1,2014,1,4
97,2014-01-12 00:00:00,12,1,2014,1,6
99,2014-01-14 00:00:00,14,1,2014,1,1
108,2014-01-23 00:00:00,23,1,2014,1,3
111,2014-01-26 00:00:00,26,1,2014,1,6
112,2014-01-27 00:00:00,27,1,2014,1,0
115,2014-01-30 00:00:00,30,1,2014,1,3
322,2014-08-25 00:00:00,25,8,2014,3,0
120,2014-02-04 00:00:00,4,2,2014,1,1
123,2014-02-07 00:00:00,7,2,2014,1,4
132,2014-02-16 00:00:00,16,2,2014,1,6
1042,2016-08-16 00:00:00,16,8,2016,3,1
136,2014-02-20 00:00:00,20,2,2014,1,3
141,2014-02-25 00:00:00,25,2,2014,1,1
143,2014-02-27 00:00:00,27,2,2014,1,3
920,2016-04-15 00:00:00,15,4,2016,2,4
1141,2016-11-23 00:00:00,23,11,2016,4,2
1237,2017-02-28 00:00:00,28,2,2017,1,1
1401,2017-08-11 00:00:00,11,8,2017,3,4
153,2014-03-09 00:00:00,9,3,2014,1,6
158,2014-03-14 00:00:00,14,3,2014,1,4
165,2014-03-21 00:00:00,21,3,2014,1,4
167,2014-03-23 00:00:00,23,3,2014,1,6
173,2014-03-29 00:00:00,29,3,2014,1,5
176,2014-04-01 00:00:00,1,4,2014,2,1
180,2014-04-05 00:00:00,5,4,2014,2,5
673,2015-08-12 00:00:00,12,8,2015,3,2
195,2014-04-20 00:00:00,20,4,2014,2,6
1580,2018-02-06 00:00:00,6,2,2018,1,1
1119,2016-11-01 00:00:00,1,11,2016,4,1
204,2014-04-29 00:00:00,29,4,2014,2,1
452,2015-01-02 00:00:00,2,1,2015,1,4
1595,2018-02-21 00:00:00,21,2,2018,1,2
205,2014-04-30 00:00:00,30,4,2014,2,2
207,2014-05-02 00:00:00,2,5,2014,2,4
208,2014-05-03 00:00:00,3,5,2014,2,5
210,2014-05-05 00:00:00,5,5,2014,2,0
213,2014-05-08 00:00:00,8,5,2014,2,3
825,2016-01-11 00:00:00,11,1,2016,1,0
1462,2017-10-11 00:00:00,11,10,2017,4,2
781,2015-11-28 00:00:00,28,11,2015,4,5
1209,2017-01-31 00:00:00,31,1,2017,1,1
226,2014-05-21 00:00:00,21,5,2014,2,2
522,2015-03-13 00:00:00,13,3,2015,1,4
228,2014-05-23 00:00:00,23,5,2014,2,4
232,2014-05-27 00:00:00,27,5,2014,2,1
692,2015-08-31 00:00:00,31,8,2015,3,0
1206,2017-01-28 00:00:00,28,1,2017,1,5
969,2016-06-03 00:00:00,3,6,2016,2,4
233,2014-05-28 00:00:00,28,5,2014,2,2
1392,2017-08-02 00:00:00,2,8,2017,3,2
239,2014-06-03 00:00:00,3,6,2014,2,1
1167,2016-12-19 00:00:00,19,12,2016,4,0
275,2014-07-09 00:00:00,9,7,2014,3,2
260,2014-06-24 00:00:00,24,6,2014,2,1
297,2014-07-31 00:00:00,31,7,2014,3,3
269,2014-07-03 00:00:00,3,7,2014,3,3
276,2014-07-10 00:00:00,10,7,2014,3,3
281,2014-07-15 00:00:00,15,7,2014,3,1
283,2014-07-17 00:00:00,17,7,2014,3,3
284,2014-07-18 00:00:00,18,7,2014,3,4
287,2014-07-21 00:00:00,21,7,2014,3,0
293,2014-07-27 00:00:00,27,7,2014,3,6
298,2014-08-01 00:00:00,1,8,2014,3,4
1582,2018-02-08 00:00:00,8,2,2018,1,3
299,2014-08-02 00:00:00,2,8,2014,3,5
302,2014-08-05 00:00:00,5,8,2014,3,1
303,2014-08-06 00:00:00,6,8,2014,3,2
305,2014-08-08 00:00:00,8,8,2014,3,4
307,2014-08-10 00:00:00,10,8,2014,3,6
311,2014-08-14 00:00:00,14,8,2014,3,3
319,2014-08-22 00:00:00,22,8,2014,3,4
325,2014-08-28 00:00:00,28,8,2014,3,3
1358,2017-06-29 00:00:00,29,6,2017,2,3
1293,2017-04-25 00:00:00,25,4,2017,2,1
1575,2018-02-01 00:00:00,1,2,2018,1,3
332,2014-09-04 00:00:00,4,9,2014,3,3
333,2014-09-05 00:00:00,5,9,2014,3,4
945,2016-05-10 00:00:00,10,5,2016,2,1
1051,2016-08-25 00:00:00,25,8,2016,3,3
506,2015-02-25 00:00:00,25,2,2015,1,2
350,2014-09-22 00:00:00,22,9,2014,3,0
790,2015-12-07 00:00:00,7,12,2015,4,0
1140,2016-11-22 00:00:00,22,11,2016,4,1
362,2014-10-04 00:00:00,4,10,2014,4,5
368,2014-10-10 00:00:00,10,10,2014,4,4
1205,2017-01-27 00:00:00,27,1,2017,1,4
381,2014-10-23 00:00:00,23,10,2014,4,3
1215,2017-02-06 00:00:00,6,2,2017,1,0
384,2014-10-26 00:00:00,26,10,2014,4,6
1038,2016-08-12 00:00:00,12,8,2016,3,4
1149,2016-12-01 00:00:00,1,12,2016,4,3
1343,2017-06-14 00:00:00,14,6,2017,2,2
397,2014-11-08 00:00:00,8,11,2014,4,5
399,2014-11-10 00:00:00,10,11,2014,4,0
400,2014-11-11 00:00:00,11,11,2014,4,1
1148,2016-11-30 00:00:00,30,11,2016,4,2
407,2014-11-18 00:00:00,18,11,2014,4,1
412,2014-11-23 00:00:00,23,11,2014,4,6
416,2014-11-27 00:00:00,27,11,2014,4,3
418,2014-11-29 00:00:00,29,11,2014,4,5
1469,2017-10-18 00:00:00,18,10,2017,4,2
419,2014-11-30 00:00:00,30,11,2014,4,6
1631,2018-03-29 00:00:00,29,3,2018,1,3
422,2014-12-03 00:00:00,3,12,2014,4,2
425,2014-12-06 00:00:00,6,12,2014,4,5
646,2015-07-16 00:00:00,16,7,2015,3,3
539,2015-03-30 00:00:00,30,3,2015,1,0
1188,2017-01-09 00:00:00,9,1,2017,1,0
576,2015-05-07 00:00:00,7,5,2015,2,3
426,2014-12-07 00:00:00,7,12,2014,4,6
428,2014-12-09 00:00:00,9,12,2014,4,1
584,2015-05-15 00:00:00,15,5,2015,2,4
1049,2016-08-23 00:00:00,23,8,2016,3,1
1001,2016-07-06 00:00:00,6,7,2016,3,2
429,2014-12-10 00:00:00,10,12,2014,4,2
430,2014-12-11 00:00:00,11,12,2014,4,3
431,2014-12-12 00:00:00,12,12,2014,4,4
682,2015-08-21 00:00:00,21,8,2015,3,4
950,2016-05-15 00:00:00,15,5,2016,2,6
502,2015-02-21 00:00:00,21,2,2015,1,5
435,2014-12-16 00:00:00,16,12,2014,4,1
549,2015-04-09 00:00:00,9,4,2015,2,3
437,2014-12-18 00:00:00,18,12,2014,4,3
438,2014-12-19 00:00:00,19,12,2014,4,4
440,2014-12-21 00:00:00,21,12,2014,4,6
447,2014-12-28 00:00:00,28,12,2014,4,6
657,2015-07-27 00:00:00,27,7,2015,3,0
449,2014-12-30 00:00:00,30,12,2014,4,1
1335,2017-06-06 00:00:00,6,6,2017,2,1
451,2015-01-01 00:00:00,1,1,2015,1,3
453,2015-01-03 00:00:00,3,1,2015,1,5
1086,2016-09-29 00:00:00,29,9,2016,3,3
454,2015-01-04 00:00:00,4,1,2015,1,6
455,2015-01-05 00:00:00,5,1,2015,1,0
456,2015-01-06 00:00:00,6,1,2015,1,1
458,2015-01-08 00:00:00,8,1,2015,1,3
459,2015-01-09 00:00:00,9,1,2015,1,4
460,2015-01-10 00:00:00,10,1,2015,1,5
461,2015-01-11 00:00:00,11,1,2015,1,6
854,2016-02-09 00:00:00,9,2,2016,1,1
975,2016-06-09 00:00:00,9,6,2016,2,3
524,2015-03-15 00:00:00,15,3,2015,1,6
1232,2017-02-23 00:00:00,23,2,2017,1,3
464,2015-01-14 00:00:00,14,1,2015,1,2
465,2015-01-15 00:00:00,15,1,2015,1,3
