lat,lon,name,admin1,admin2,cc
40.6943,-73.9249,New York,New York,Queens,US
34.1141,-118.4068,Los Angeles,California,Los Angeles,US
41.8375,-87.6866,Chicago,Illinois,Cook,US
25.7840,-80.2101,Miami,Florida,Miami-Dade,US
29.7860,-95.3885,Houston,Texas,Harris,US
32.7935,-96.7667,Dallas,Texas,Dallas,US
40.0077,-75.1339,Philadelphia,Pennsylvania,Philadelphia,US
33.7628,-84.4220,Atlanta,Georgia,Fulton,US
38.9047,-77.0163,Washington,District of Columbia,District of Columbia,US
42.3188,-71.0852,Boston,Massachusetts,Suffolk,US
33.5722,-112.0892,Phoenix,Arizona,Maricopa,US
42.3834,-83.1024,Detroit,Michigan,Wayne,US
47.6211,-122.3244,Seattle,Washington,King,US
37.7558,-122.4449,San Francisco,California,San Francisco,US
32.8313,-117.1222,San Diego,California,San Diego,US
44.9635,-93.2678,Minneapolis,Minnesota,Hennepin,US
27.9945,-82.4447,Tampa,Florida,Hillsborough,US
40.6501,-73.9496,Brooklyn,New York,Kings,US
39.7620,-104.8758,Denver,Colorado,Denver,US
40.7498,-73.7976,Queens,New York,Queens,US
33.9381,-117.3949,Riverside,California,Riverside,US
36.2333,-115.2654,Las Vegas,Nevada,Clark,US
39.3051,-76.6144,Baltimore,Maryland,Baltimore,US
38.6359,-90.2451,St. Louis,Missouri,St. Louis,US
45.5371,-122.6500,Portland,Oregon,Multnomah,US
29.4632,-98.5238,San Antonio,Texas,Bexar,US
38.5677,-121.4685,Sacramento,California,Sacramento,US
30.3005,-97.7522,Austin,Texas,Travis,US
28.4773,-81.3370,Orlando,Florida,Orange,US
18.3985,-66.0610,San Juan,Puerto Rico,San Juan,US
37.3012,-121.8480,San Jose,California,Santa Clara,US
40.4397,-79.9763,Pittsburgh,Pennsylvania,Allegheny,US
39.7771,-86.1458,Indianapolis,Indiana,Marion,US
40.7834,-73.9662,Manhattan,New York,New York,US
39.1413,-84.5060,Cincinnati,Ohio,Hamilton,US
39.1238,-94.5541,Kansas City,Missouri,Jackson,US
41.4764,-81.6805,Cleveland,Ohio,Cuyahoga,US
39.9862,-82.9855,Columbus,Ohio,Franklin,US
40.8501,-73.8662,Bronx,New York,Bronx,US
36.7335,-76.0435,Virginia Beach,Virginia,Virginia Beach,US
35.2083,-80.8303,Charlotte,North Carolina,Mecklenburg,US
43.0642,-87.9675,Milwaukee,Wisconsin,Milwaukee,US
41.8230,-71.4187,Providence,Rhode Island,Providence,US
